Basic cases;;;;;;;
;;;;;;;
;;;;;;;
O;O;B-ORG;I-ORG;I-ORG;O;;
Megalakult;a;Magyar;Nemzeti;Színház;.;;
;;Német;Állami;Bank;;;
;;Francia;Vidéki;Minisztérium;;;
;;Görög;Egyesült;Filmszínház;;;
;;Bergengóc;;Múzeum;;;
;;Óperenciás;;Egyetem;;;
;;Spanyol;;Főiskola;;;
;;;;;;;
;;;;;;;
O;O;B-ORG;I-ORG;I-ORG;O;;
Megalakult;az;Orosz;Nemzeti;Színház;.;;
;;Amerikai;Állami;Bank;;;
;;Angol;Vidéki;Minisztérium;;;
;;Arab;Egyesült;Filmszínház;;;
;;Indiai;;Múzeum;;;
;;Egyiptomi;;Egyetem;;;
;;Észt;;Főiskola;;;
;;;;;;;
;;;;;;;
;;;;;;;
O;O;B-ORG;I-ORG;I-ORG;O;;
Létrejött;a;Magyar;Nemzeti;Színház;.;;
;;Német;Állami;Bank;;;
;;Francia;Vidéki;Minisztérium;;;
;;Görög;Egyesült;Filmszínház;;;
;;Bergengóc;;Múzeum;;;
;;Óperenciás;;Egyetem;;;
;;Spanyol;;Főiskola;;;
;;;;;;;
;;;;;;;
O;O;B-ORG;I-ORG;I-ORG;O;;
Létrejött;az;Orosz;Nemzeti;Színház;.;;
;;Amerikai;Állami;Bank;;;
;;Angol;Vidéki;Minisztérium;;;
;;Arab;Egyesült;Filmszínház;;;
;;Indiai;;Múzeum;;;
;;Egyiptomi;;Egyetem;;;
;;Észt;;Főiskola;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
O;B-ORG;I-ORG;I-ORG;O;O;;
A;Magyar;Nemzeti;Színház;megalakult;.;;
;Német;Állami;Bank;;;;
;Francia;Vidéki;Minisztérium;;;;
;Görög;Egyesült;Filmszínház;;;;
;Bergengóc;;Múzeum;;;;
;Óperenciás;;Egyetem;;;;
;Spanyol;;Főiskola;;;;
;;;;;;;
;;;;;;;
O;B-ORG;I-ORG;I-ORG;O;O;;
Az;Orosz;Nemzeti;Színház;megalakult;.;;
;Amerikai;Állami;Bank;;;;
;Angol;Vidéki;Minisztérium;;;;
;Arab;Egyesült;Filmszínház;;;;
;Indiai;;Múzeum;;;;
;Egyiptomi;;Egyetem;;;;
;Észt;;Főiskola;;;;
;;;;;;;
;;;;;;;
;;;;;;;
O;B-ORG;I-ORG;I-ORG;O;O;;
A;Magyar;Nemzeti;Színház;létrejött;.;;
;Német;Állami;Bank;;;;
;Francia;Vidéki;Minisztérium;;;;
;Görög;Egyesült;Filmszínház;;;;
;Bergengóc;;Múzeum;;;;
;Óperenciás;;Egyetem;;;;
;Spanyol;;Főiskola;;;;
;;;;;;;
;;;;;;;
O;B-ORG;I-ORG;I-ORG;O;O;;
Az;Orosz;Nemzeti;Színház;létrejött;.;;
;Amerikai;Állami;Bank;;;;
;Angol;Vidéki;Minisztérium;;;;
;Arab;Egyesült;Filmszínház;;;;
;Indiai;;Múzeum;;;;
;Egyiptomi;;Egyetem;;;;
;Észt;;Főiskola;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
O;O;O;O;B-ORG;I-ORG;I-ORG;O
Nem;alakult;meg;a;Magyar;Nemzeti;Színház;.
;;;;Német;Állami;Bank;
;;;;Francia;Vidéki;Minisztérium;
;;;;Görög;Egyesült;Filmszínház;
;;;;Bergengóc;;Múzeum;
;;;;Óperenciás;;Egyetem;
;;;;Spanyol;;Főiskola;
;;;;;;;
;;;;;;;
O;O;O;O;B-ORG;I-ORG;I-ORG;O
Nem;alakult;meg;az;Orosz;Nemzeti;Színház;.
;;;;Amerikai;Állami;Bank;
;;;;Angol;Vidéki;Minisztérium;
;;;;Arab;Egyesült;Filmszínház;
;;;;Indiai;;Múzeum;
;;;;Egyiptomi;;Egyetem;
;;;;Észt;;Főiskola;
;;;;;;;
;;;;;;;
O;O;O;O;B-ORG;I-ORG;I-ORG;O
Nem;jött;létre;a;Magyar;Nemzeti;Színház;.
;;;;Német;Állami;Bank;
;;;;Francia;Vidéki;Minisztérium;
;;;;Görög;Egyesült;Filmszínház;
;;;;Bergengóc;;Múzeum;
;;;;Óperenciás;;Egyetem;
;;;;Spanyol;;Főiskola;
;;;;;;;
;;;;;;;
O;O;O;O;B-ORG;I-ORG;I-ORG;O
Nem;jött;létre;az;Orosz;Nemzeti;Színház;.
;;;;Amerikai;Állami;Bank;
;;;;Angol;Vidéki;Minisztérium;
;;;;Arab;Egyesült;Filmszínház;
;;;;Indiai;;Múzeum;
;;;;Egyiptomi;;Egyetem;
;;;;Észt;;Főiskola;
